,global_x,global_y,Region
87,-65.2769406250003,14.9523312499999,Atria
88,-66.0288937500003,75.8605343749999,Atria
89,-64.0953000000003,45.5675656249999,Atria
90,-64.7935421875003,53.9464718749999,Atria
91,-63.5581906250003,4.21014374999993,Atria
92,-63.6119015625003,125.5968625,Atria
94,-63.2359250000003,-42.3035281250001,black
95,-60.5503781250003,10.2257687499999,Atria
97,-59.3687375000003,59.1027218749999,Atria
99,-56.5757687500003,118.614440625,Atria
100,-55.7163937500003,-0.408996875000071,Atria
103,-54.4273312500003,39.8742062499999,Atria
104,-53.8902218750003,-15.0183718750001,Atria
105,-52.1714718750003,69.8449093749999,Atria
106,-52.9234250000003,76.3976437499999,Atria
107,-52.4937375000003,62.9699093749999,Atria
108,-51.0972531250003,32.1398312499999,Atria
111,-50.1304562500003,-6.20977812500007,Atria
112,-49.3426958333336,127.336315625,Atria
114,-48.5191281250003,-32.9578250000001,Atria
115,-47.2300656250003,142.446992708333,Atria
116,-45.8335812500003,115.2843625,Atria
118,-44.6519406250003,19.7863156249999,Atria
119,-43.7925656250003,65.4406124999999,Atria
120,-43.1480343750003,30.6359249999999,Atria
121,-41.4292843750003,-0.301575000000071,Atria
122,-41.5367062500003,-41.3367312500001,Atria
123,-39.9253781250003,11.2999874999999,Atria
125,-39.9253781250003,-12.0105593750001,Atria
127,-39.4956906250003,-21.4636843750001,Atria
128,-37.9917843750003,33.1066281249999,Atria
129,-35.7359250000003,68.3410031249999,Atria
130,-36.3804562500003,56.5245968749999,Atria
131,-34.3394406250003,39.7667843749999,Atria
132,-33.3726437500003,-6.63946562500007,Atria
133,-32.8355343750003,49.0050656249999,Atria
134,-32.6206906250003,-50.9509890625001,Atria
135,-31.958255729167,-56.3248822916668,Atria
136,-31.4390500000003,13.9855343749999,Atria
139,-28.9683468750003,-16.6297000000001,Atria
141,-29.2906125000003,109.161315625,Atria
142,-28.0015500000003,100.782409375,Atria
143,-25.4234250000003,119.258971875,Atria
144,-22.8453000000003,-0.946106250000071,Atria
145,-23.1675656250003,38.9074093749999,Atria
146,-22.7378781250003,54.9132687499999,Atria
147,-21.8785031250003,-7.92852812500007,Atria
149,-21.8785031250003,27.5206906249999,Atria
150,-21.1265500000003,103.360534375,Atria
152,-18.9781125000003,44.3859249999999,Atria
155,-16.9370968750003,63.1847531249999,Atria
156,-15.7554562500003,32.1398312499999,Atria
157,-15.9703000000003,112.383971875,Atria
158,-15.4331906250003,5.60662812499993,Atria
159,-16.1851437500003,-47.7820437500001,Atria
160,-13.4995968750003,101.96405,Atria
161,-13.4995968750003,-10.8289187500001,Atria
163,-11.1005083333336,-58.9746218750001,Atria
164,-9.95467500000029,-35.2136843750001,Atria
166,-8.34334687500029,43.7413937499999,Atria
168,-5.98006562500029,108.731628125,Atria
170,-5.65780000000029,54.3761593749999,Atria
171,-4.79842500000029,-6.10235625000007,Atria
172,-2.86483125000029,-29.8425906250001,Atria
173,-2.86483125000029,-47.3523562500001,Atria
174,-3.07967500000029,92.2960812499999,Atria
175,-1.28931041666696,-60.0488406250001,Atria
176,-1.57576875000029,-18.0261843750001,Atria
177,-1.46834687500029,64.3663937499999,Atria
178,0.75170520833304,142.805065625,Atria
179,0.894934374999707,47.1788937499999,Atria
181,1.21719999999971,104.005065625,Atria
183,1.53946562499971,73.2824093749999,Atria
185,3.68790312499971,97.0226437499999,Atria
186,4.33243437499971,-3.84649687500007,Atria
187,4.76212187499971,31.7101437499999,Atria
188,5.40665312499971,-16.7371218750001,Atria
189,5.62149687499971,-29.9500125000001,Atria
190,6.37344999999971,79.1906124999999,Atria
192,7.34024687499971,13.2335812499999,Atria
193,8.52188749999971,58.5656124999999,Atria
195,9.27384062499971,67.0519406249999,Atria
196,10.7777468749997,109.91326875,Atria
197,10.8851687499997,-48.4265750000001,Atria
198,12.8187624999997,98.5265499999999,Atria
199,12.4964968749997,44.2785031249999,Atria
202,16.1488406249997,75.3234249999999,Atria
203,15.2894656249997,-25.4382937500001,Atria
204,16.2562624999997,-12.6550906250001,Atria
205,16.0414187499997,13.9855343749999,Atria
208,18.9418093749997,23.6535031249999,Atria
209,19.9086062499997,35.3624874999999,Atria
210,22.0570437499997,59.6398312499999,Atria
212,23.7757937499997,127.622773958333,Atria
213,23.9906374999997,-30.2722781250001,Atria
214,26.2464968749997,71.6710812499999,Atria
217,30.4359499999997,-37.8992312500001,Atria
219,29.2543093749997,-48.1043093750001,Atria
220,32.6918093749997,-11.9031375000001,Atria
221,32.6918093749997,134.784232291667,Atria
222,33.0140749999997,31.6027218749999,Atria
223,33.0140749999997,-22.1082156250001,Atria
224,29.4691531249997,109.91326875,Atria
225,34.9476687499997,103.790221875,Atria
226,36.523189583333,-57.6855593750001,Atria
